source_split	image	status	reasons	duplicate_of
train	train\images\IMG_8205_jpg.rf.33aa11a6df79572d8fb5724fbb53af84.jpg	manual_review	empty_label;ambiguous_empty_label_manual_review	
train	train\images\IMG_8205_jpg.rf.3ba6b94646039f06ccc7981155614e06.jpg	manual_review	empty_label;ambiguous_empty_label_manual_review	
train	train\images\IMG_8289_jpg.rf.c7b9c4ba589f099c11e08628b02388aa.jpg	manual_review	empty_label;ambiguous_empty_label_manual_review	
train	train\images\IMG_8348_jpg.rf.c5ece22ba2bcd118392a632557a2eae0.jpg	manual_review	empty_label;ambiguous_empty_label_manual_review	
train	train\images\IMG_8657_jpg.rf.886f1fb91446e460a14d234717f4df47.jpg	manual_review	empty_label;ambiguous_empty_label_manual_review	
train	train\images\IMG_8711_jpg.rf.29c0316a3a04f43173558e30e23b91f7.jpg	manual_review	empty_label;ambiguous_empty_label_manual_review	
train	train\images\IMG_8759_jpg.rf.1fc375ed2ab727e6752fc7efcb31aad5.jpg	manual_review	empty_label;ambiguous_empty_label_manual_review	
train	train\images\IMG_8819_jpg.rf.56cfd5f845762cea30b1780fcfc5db1d.jpg	manual_review	empty_label;ambiguous_empty_label_manual_review	
train	train\images\IMG_8835_jpg.rf.30b53c8237cd21967945e6d8e6c4c57f.jpg	manual_review	empty_label;ambiguous_empty_label_manual_review	
train	train\images\IMG_8835_jpg.rf.51b76cba2a008d1480d8e9dc543e0c5b.jpg	manual_review	empty_label;ambiguous_empty_label_manual_review	
train	train\images\IMG_8848_jpg.rf.aee3345275f53e854388282c88050869.jpg	manual_review	empty_label;ambiguous_empty_label_manual_review	
train	train\images\IMG_8913_jpg.rf.cf89a0e7eb583ac57137c70e3d7c7ba2.jpg	manual_review	empty_label;ambiguous_empty_label_manual_review	
train	train\images\IMG_8922_jpg.rf.9902610785778fad588490dc168beba4.jpg	manual_review	empty_label;ambiguous_empty_label_manual_review	
train	train\images\IMG_8922_jpg.rf.ae0ff02a5ec3ddd52696951c9b0a0dba.jpg	manual_review	empty_label;ambiguous_empty_label_manual_review	
train	train\images\IMG_8922_jpg.rf.e009fb67ad6d88fadde58e3012f7e978.jpg	manual_review	empty_label;ambiguous_empty_label_manual_review	
train	train\images\IMG_8934_jpg.rf.47f221215a05ac0fc44e2bd45d144e3d.jpg	manual_review	empty_label;ambiguous_empty_label_manual_review	
train	train\images\IMG_8964_jpg.rf.395df347782bf7d710af7c57f77a1a26.jpg	manual_review	empty_label;ambiguous_empty_label_manual_review	
valid	valid\images\IMG_8311_jpg.rf.99714f39aa85a179277fcf05ff19d930.jpg	manual_review	empty_label;ambiguous_empty_label_manual_review	
