epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.108,1.78726,3.57694,1.76166,0.00425,0.72167,0.27561,0.17156,1.54484,4.07622,1.68411,0.00044231,0.00044231,0.00044231
2,282.672,1.71488,2.95694,1.70153,0.00325,0.55857,0.17097,0.07715,1.80513,4.0959,2.16542,0.000909548,0.000909548,0.000909548
3,423.675,1.80989,2.79483,1.76631,0.00404,0.68788,0.19513,0.07726,1.91593,4.10191,2.12567,0.00136736,0.00136736,0.00136736
4,567.589,1.8354,2.70329,1.7827,0.46524,0.13387,0.08488,0.02687,2.01225,4.34126,2.31557,0.00138656,0.00138656,0.00138656
5,708.865,1.83844,2.74889,1.77482,0.20297,0.30551,0.06138,0.02573,2.0706,4.53832,2.47665,0.00137241,0.00137241,0.00137241
6,855.148,1.73833,2.75432,1.71976,0.14396,0.14133,0.10214,0.03883,2.23556,5.9293,2.6028,0.00135826,0.00135826,0.00135826
7,998.72,1.74647,2.83943,1.71577,0.33321,0.39782,0.25933,0.11748,1.93654,7.85779,2.4397,0.00134412,0.00134412,0.00134412
8,1141.5,1.76757,2.66474,1.82297,0.32389,0.43819,0.23937,0.10811,1.97402,4.86557,2.28791,0.00132997,0.00132997,0.00132997
9,1287.22,1.69038,2.43208,1.69512,0.25457,0.29148,0.17759,0.08966,2.15075,7.00475,2.13055,0.00131582,0.00131582,0.00131582
10,1418.33,1.70458,2.40501,1.72935,0.32307,0.26007,0.24922,0.12317,1.96433,4.3682,2.05839,0.00130168,0.00130168,0.00130168
11,1557.7,1.65434,2.35691,1.64537,0.30315,0.35701,0.26868,0.135,1.98256,4.09454,2.22813,0.00128753,0.00128753,0.00128753
12,1699.35,1.60922,2.40086,1.59986,0.29734,0.46524,0.27387,0.12005,1.92793,3.85536,2.11533,0.00127338,0.00127338,0.00127338
13,1846.82,1.61808,2.19351,1.60918,0.3315,0.48462,0.35024,0.18168,1.78119,4.89859,2.05492,0.00125923,0.00125923,0.00125923
14,1978.44,1.61135,2.29668,1.63321,0.4474,0.36095,0.31519,0.16561,1.86746,4.24489,2.15265,0.00124509,0.00124509,0.00124509
15,2111.53,1.53027,2.22229,1.59282,0.57413,0.39562,0.41367,0.2071,1.84069,3.07998,2.17936,0.00123094,0.00123094,0.00123094
16,2227.36,1.62701,2.19917,1.64114,0.44821,0.53281,0.41602,0.21397,1.82791,3.10413,2.09912,0.00121679,0.00121679,0.00121679
17,2370.99,1.53915,2.1946,1.61106,0.50393,0.43189,0.38436,0.2124,1.66302,2.76659,1.87659,0.00120265,0.00120265,0.00120265
18,2548.65,1.56844,2.09254,1.60857,0.42244,0.44572,0.40696,0.20209,1.78871,2.68262,1.9466,0.0011885,0.0011885,0.0011885
19,2739.22,1.48207,2.1001,1.55955,0.39984,0.50893,0.43498,0.24073,1.74017,2.93391,2.0259,0.00117435,0.00117435,0.00117435
20,2929.13,1.54421,2.15873,1.64001,0.57563,0.40522,0.41914,0.20459,1.926,3.19117,2.22016,0.00116021,0.00116021,0.00116021
21,3118.99,1.52478,2.0166,1.58095,0.34494,0.46834,0.35909,0.22461,1.669,3.19553,1.90107,0.00114606,0.00114606,0.00114606
22,3316.7,1.41592,1.9523,1.50945,0.34735,0.53131,0.35444,0.21565,1.67088,2.91468,1.82773,0.00113191,0.00113191,0.00113191
23,3512.59,1.50481,1.99664,1.55638,0.62742,0.42172,0.4901,0.311,1.61274,3.17659,1.83568,0.00111776,0.00111776,0.00111776
24,3711.62,1.42597,1.98048,1.48018,0.46169,0.49084,0.47834,0.30739,1.65852,2.41215,1.77623,0.00110362,0.00110362,0.00110362
25,3907.1,1.49306,1.90285,1.48863,0.47495,0.5181,0.48541,0.30821,1.67793,2.16993,1.77724,0.00108947,0.00108947,0.00108947
26,4099.81,1.4726,1.96372,1.4951,0.48898,0.53842,0.49589,0.28764,1.76945,2.31596,1.87832,0.00107532,0.00107532,0.00107532
27,4293.27,1.3745,1.78403,1.44616,0.56694,0.5655,0.50203,0.29147,1.7848,2.15985,1.87281,0.00106118,0.00106118,0.00106118
28,4487.41,1.36692,1.80942,1.42585,0.57963,0.45502,0.48555,0.27367,1.76745,2.32602,1.82614,0.00104703,0.00104703,0.00104703
29,4681.01,1.36124,1.68743,1.42015,0.43098,0.56907,0.49599,0.29286,1.73824,2.21818,1.76886,0.00103288,0.00103288,0.00103288
30,4873.12,1.39571,1.86384,1.44032,0.53932,0.44549,0.4881,0.26598,1.67813,2.23006,1.73819,0.00101873,0.00101873,0.00101873
31,5067.58,1.38004,1.70697,1.46689,0.59301,0.53558,0.54238,0.32362,1.60889,2.1014,1.6962,0.00100459,0.00100459,0.00100459
32,5256.06,1.33712,1.65989,1.42066,0.5818,0.45699,0.47638,0.29595,1.62786,2.32545,1.76252,0.00099044,0.00099044,0.00099044
33,5448.09,1.33374,1.63419,1.39474,0.50985,0.43675,0.4503,0.28033,1.6061,2.39689,1.73946,0.000976293,0.000976293,0.000976293
34,5623.33,1.33561,1.64273,1.40641,0.57245,0.42203,0.44419,0.28641,1.65976,2.63592,1.71978,0.000962146,0.000962146,0.000962146
35,5799.03,1.33038,1.63962,1.40102,0.51045,0.49348,0.51438,0.32329,1.71171,2.48559,1.84876,0.000947999,0.000947999,0.000947999
36,5955.23,1.33748,1.65406,1.44532,0.56544,0.54526,0.54411,0.34344,1.67954,2.11457,1.86139,0.000933851,0.000933851,0.000933851
37,6136.58,1.30926,1.63417,1.40229,0.58454,0.47715,0.50237,0.28933,1.74516,2.20409,1.90273,0.000919704,0.000919704,0.000919704
38,6302.32,1.31654,1.55317,1.37484,0.71954,0.4356,0.46774,0.26109,1.74895,2.42319,1.90543,0.000905557,0.000905557,0.000905557
39,6450.28,1.31281,1.51842,1.36173,0.51316,0.50919,0.52719,0.32148,1.62484,2.06939,1.78447,0.00089141,0.00089141,0.00089141
40,6596.05,1.31939,1.57591,1.38624,0.58282,0.53403,0.51531,0.33118,1.5813,2.00483,1.7212,0.000877263,0.000877263,0.000877263
41,6738.89,1.2619,1.51965,1.35322,0.53824,0.48051,0.48908,0.33075,1.61307,2.13697,1.79995,0.000863116,0.000863116,0.000863116
42,6884.42,1.30409,1.571,1.37676,0.59973,0.50101,0.52039,0.33281,1.66681,2.02376,1.77842,0.000848969,0.000848969,0.000848969
43,7038.5,1.26353,1.44479,1.30643,0.52449,0.59463,0.50169,0.32214,1.63881,2.0177,1.74868,0.000834822,0.000834822,0.000834822
44,7233.72,1.27574,1.42981,1.3534,0.51751,0.49061,0.48315,0.31697,1.61903,1.97488,1.76171,0.000820675,0.000820675,0.000820675
45,7429.56,1.20986,1.36984,1.31017,0.51531,0.59432,0.54687,0.34645,1.52987,1.93171,1.68509,0.000806528,0.000806528,0.000806528
46,7627.66,1.17437,1.31786,1.28968,0.71325,0.52391,0.56782,0.38258,1.53724,1.94633,1.71692,0.00079238,0.00079238,0.00079238
47,7824.94,1.21133,1.30862,1.30584,0.50108,0.55663,0.53297,0.34407,1.62935,2.09099,1.78019,0.000778233,0.000778233,0.000778233
48,8018.39,1.18702,1.26899,1.25237,0.53347,0.59332,0.5499,0.35289,1.61317,1.95905,1.79335,0.000764086,0.000764086,0.000764086
49,8196.96,1.13912,1.19283,1.23233,0.59009,0.55025,0.55596,0.33776,1.6381,1.96183,1.77062,0.000749939,0.000749939,0.000749939
50,8369.08,1.15974,1.36883,1.26486,0.55461,0.59523,0.57006,0.35429,1.62233,1.95226,1.77508,0.000735792,0.000735792,0.000735792
51,8543.28,1.11648,1.24161,1.26124,0.61638,0.55265,0.58599,0.38402,1.51334,1.86895,1.68085,0.000721645,0.000721645,0.000721645
52,8717.98,1.19162,1.25543,1.27326,0.6339,0.55522,0.5818,0.38255,1.5047,1.81587,1.65857,0.000707498,0.000707498,0.000707498
53,8892.86,1.10444,1.27499,1.25524,0.59512,0.4854,0.51549,0.28604,1.66839,1.90095,1.75923,0.000693351,0.000693351,0.000693351
54,9068.26,1.13542,1.26712,1.26571,0.52496,0.49845,0.53858,0.3203,1.55282,1.93463,1.71214,0.000679204,0.000679204,0.000679204
55,9245.28,1.13656,1.16984,1.21847,0.59927,0.51507,0.52694,0.34044,1.54079,1.97991,1.65598,0.000665057,0.000665057,0.000665057
56,9421.45,1.07158,1.10742,1.20247,0.6483,0.54665,0.54479,0.36573,1.508,1.89586,1.65026,0.000650909,0.000650909,0.000650909
57,9575.79,1.08664,1.16521,1.22945,0.62377,0.53628,0.55128,0.38828,1.52384,1.87541,1.62563,0.000636762,0.000636762,0.000636762
58,9719.91,1.12313,1.22831,1.23644,0.59442,0.58643,0.56051,0.38089,1.54936,1.88397,1.62052,0.000622615,0.000622615,0.000622615
59,9865.09,1.10611,1.15719,1.22028,0.56507,0.63894,0.61447,0.40598,1.54784,1.71497,1.62311,0.000608468,0.000608468,0.000608468
60,10009,1.05829,1.10599,1.2016,0.67766,0.64223,0.63281,0.43122,1.46803,1.66757,1.58665,0.000594321,0.000594321,0.000594321
61,10154.5,1.04544,1.07018,1.19636,0.70201,0.59349,0.62529,0.41726,1.48529,1.73309,1.56462,0.000580174,0.000580174,0.000580174
62,10297.5,1.08692,1.17706,1.21894,0.60866,0.63799,0.61039,0.41864,1.5242,1.80702,1.61294,0.000566027,0.000566027,0.000566027
63,10441,1.04565,1.06904,1.20728,0.65824,0.61223,0.61082,0.41714,1.42088,1.71954,1.57578,0.00055188,0.00055188,0.00055188
64,10587.1,1.02904,1.04572,1.16989,0.5584,0.66333,0.61599,0.41971,1.48141,1.70076,1.61952,0.000537733,0.000537733,0.000537733
65,10733.9,1.07317,1.0495,1.21643,0.73821,0.62423,0.63598,0.43666,1.44754,1.66306,1.58331,0.000523586,0.000523586,0.000523586
66,10877.6,1.05635,1.10868,1.23785,0.71542,0.61399,0.63797,0.44835,1.47696,1.67318,1.61131,0.000509438,0.000509438,0.000509438
67,11021.5,1.01174,1.00492,1.1564,0.80409,0.595,0.6389,0.45115,1.41059,1.64422,1.5584,0.000495291,0.000495291,0.000495291
68,11166,1.01733,0.99058,1.15789,0.7254,0.60893,0.62667,0.43486,1.4095,1.72685,1.5796,0.000481144,0.000481144,0.000481144
69,11308.7,1.06969,1.0779,1.26791,0.66542,0.55076,0.57979,0.38244,1.44506,1.90652,1.59651,0.000466997,0.000466997,0.000466997
70,11450.9,0.97556,1.00329,1.1321,0.52953,0.54808,0.56718,0.38111,1.51376,1.90551,1.64317,0.00045285,0.00045285,0.00045285
71,11593.2,0.93408,0.95189,1.11272,0.58843,0.51671,0.55941,0.37831,1.46364,1.86197,1.62413,0.000438703,0.000438703,0.000438703
72,11734.3,0.92406,0.92767,1.13877,0.46503,0.65617,0.55193,0.37409,1.46956,1.9438,1.65495,0.000424556,0.000424556,0.000424556
73,11875.4,0.92098,0.98497,1.11233,0.54429,0.56201,0.55177,0.36398,1.502,1.91013,1.69295,0.000410409,0.000410409,0.000410409
74,12037.9,1.02032,0.97601,1.18641,0.7102,0.52947,0.60615,0.39697,1.54895,1.82193,1.72801,0.000396262,0.000396262,0.000396262
75,12183.3,0.86616,1.82399,1.04308,0.71678,0.62396,0.65481,0.42748,1.44035,1.73869,1.65234,0.000382115,0.000382115,0.000382115
76,12329.7,0.93003,0.88158,1.09632,0.77813,0.59651,0.66368,0.44908,1.41718,1.67419,1.61035,0.000367967,0.000367967,0.000367967
77,12473.2,0.91044,0.9031,1.11164,0.71177,0.64104,0.65164,0.4369,1.41597,1.67722,1.59016,0.00035382,0.00035382,0.00035382
78,12618.1,0.8825,0.91004,1.10898,0.63293,0.6607,0.63139,0.436,1.40227,1.66068,1.57388,0.000339673,0.000339673,0.000339673
79,12775.2,0.9638,0.88445,1.16309,0.69967,0.61533,0.64128,0.45344,1.39048,1.67743,1.54349,0.000325526,0.000325526,0.000325526
80,12931,0.87438,0.82083,1.07983,0.73357,0.63604,0.65171,0.45531,1.37443,1.64757,1.53106,0.000311379,0.000311379,0.000311379
81,13091.3,0.9043,0.89269,1.11487,0.72724,0.61686,0.65163,0.4437,1.41644,1.63762,1.55373,0.000297232,0.000297232,0.000297232
82,13260.4,0.86316,0.84096,1.08816,0.81131,0.58306,0.64546,0.44487,1.41976,1.63223,1.57576,0.000283085,0.000283085,0.000283085
83,13432,0.89096,0.83148,1.08574,0.69784,0.60117,0.63281,0.43738,1.45228,1.72202,1.60592,0.000268938,0.000268938,0.000268938
84,13603.1,0.87364,0.86601,1.12423,0.69703,0.6247,0.64208,0.44856,1.45799,1.70497,1.61124,0.000254791,0.000254791,0.000254791
85,13773.8,0.87928,0.82162,1.08712,0.63603,0.6637,0.64829,0.46092,1.44239,1.62801,1.63136,0.000240644,0.000240644,0.000240644
86,13945.9,0.87887,0.84035,1.09317,0.6935,0.61666,0.65529,0.45584,1.41982,1.68748,1.60307,0.000226497,0.000226497,0.000226497
87,14120.4,0.87972,0.83154,1.08351,0.72318,0.62507,0.65194,0.4428,1.42844,1.77055,1.63346,0.000212349,0.000212349,0.000212349
88,14295.5,0.86034,0.83323,1.0841,0.70803,0.63626,0.64732,0.43935,1.42707,1.7262,1.62962,0.000198202,0.000198202,0.000198202
89,14469.9,0.83011,0.77873,1.05184,0.68557,0.65732,0.64028,0.43668,1.39995,1.68597,1.60592,0.000184055,0.000184055,0.000184055
90,14641.1,1.01741,0.95054,1.22034,0.71843,0.63348,0.63941,0.43815,1.39262,1.70873,1.59396,0.000169908,0.000169908,0.000169908
91,14819,0.80729,0.85485,1.03788,0.70579,0.56923,0.60704,0.40955,1.38095,1.74414,1.56146,0.000155761,0.000155761,0.000155761
92,14988.8,0.79004,0.79908,1.02076,0.70996,0.59,0.60734,0.40748,1.39708,1.77511,1.57306,0.000141614,0.000141614,0.000141614
93,15162.2,0.73657,0.70199,0.98637,0.69133,0.58868,0.61326,0.40811,1.4291,1.80262,1.62005,0.000127467,0.000127467,0.000127467
94,15335.3,0.81376,0.83504,1.02416,0.70306,0.58004,0.61469,0.39892,1.44487,1.80191,1.65011,0.00011332,0.00011332,0.00011332
95,15507.7,0.84624,0.81443,1.07132,0.69845,0.57268,0.61086,0.39854,1.47423,1.80437,1.69298,9.91726e-05,9.91726e-05,9.91726e-05
96,15677.8,0.86401,0.8403,1.13532,0.68632,0.57445,0.61207,0.4054,1.45347,1.76497,1.67032,8.50255e-05,8.50255e-05,8.50255e-05
97,15849.4,0.73704,0.72622,1.00956,0.69626,0.57346,0.59968,0.40916,1.43385,1.7839,1.64972,7.08784e-05,7.08784e-05,7.08784e-05
98,16021.3,0.75208,0.68156,0.98142,0.63595,0.61056,0.60262,0.41878,1.42655,1.77643,1.63637,5.67313e-05,5.67313e-05,5.67313e-05
99,16194.4,0.75792,0.69443,1.00158,0.66378,0.60601,0.60288,0.4081,1.42775,1.77302,1.63287,4.25842e-05,4.25842e-05,4.25842e-05
100,16367.4,0.76307,0.76332,1.00464,0.61652,0.61722,0.60449,0.41301,1.43433,1.76862,1.63378,2.84371e-05,2.84371e-05,2.84371e-05
