epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.672,1.82989,4.33803,1.99653,0.00237,0.65622,0.41507,0.23099,1.34553,4.54937,1.7768,0.00044231,0.00044231,0.00044231
2,384.593,1.64515,3.50193,1.84939,0.00216,0.63058,0.29783,0.15511,1.46167,4.63259,1.99896,0.000909548,0.000909548,0.000909548
3,568.493,1.64891,3.35764,1.80752,0.0022,0.63913,0.20963,0.0866,1.91579,4.7972,2.8237,0.00136736,0.00136736,0.00136736
4,744.753,1.68266,3.3041,1.84664,0.40407,0.38487,0.34829,0.16409,1.84939,4.93876,2.79097,0.00138656,0.00138656,0.00138656
5,921.422,1.70607,3.16025,1.87234,0.78227,0.30225,0.3572,0.18473,1.83305,4.1538,2.69385,0.00137241,0.00137241,0.00137241
6,1091.7,1.6776,3.03752,1.86349,0.3846,0.26944,0.29057,0.13646,1.91586,5.70857,2.6631,0.00135826,0.00135826,0.00135826
7,1266.82,1.56894,2.86777,1.78646,0.40792,0.38667,0.32111,0.16912,1.85879,13.0137,3.0211,0.00134412,0.00134412,0.00134412
8,1439.71,1.62844,2.951,1.8483,0.35913,0.34077,0.23707,0.10152,2.09874,5.13716,3.3311,0.00132997,0.00132997,0.00132997
9,1616.12,1.58445,2.87467,1.77891,0.29938,0.508,0.32834,0.18609,1.73864,8.95085,2.39025,0.00131582,0.00131582,0.00131582
10,1795.25,1.57472,2.64642,1.80564,0.40741,0.42761,0.30797,0.16377,1.95933,7.19297,2.66768,0.00130168,0.00130168,0.00130168
11,1978.89,1.5668,2.59385,1.78481,0.55728,0.30415,0.37243,0.21617,1.81474,4.93539,2.26733,0.00128753,0.00128753,0.00128753
12,2157.62,1.52219,2.4366,1.68228,0.32507,0.35086,0.32199,0.17359,1.88812,4.54912,2.22646,0.00127338,0.00127338,0.00127338
13,2340.41,1.45266,2.33843,1.64866,0.41736,0.39242,0.38052,0.2517,1.65246,4.81034,2.13296,0.00125923,0.00125923,0.00125923
14,2517.44,1.39401,2.18859,1.62804,0.51619,0.47548,0.44002,0.247,1.85574,3.32355,2.3967,0.00124509,0.00124509,0.00124509
15,2695.9,1.37742,2.09705,1.62337,0.49737,0.56482,0.50867,0.31149,1.55301,2.83493,2.02828,0.00123094,0.00123094,0.00123094
16,2877.74,1.41152,2.10212,1.62243,0.53861,0.51772,0.50693,0.26786,1.71695,2.96018,2.2514,0.00121679,0.00121679,0.00121679
17,3055.62,1.36015,1.99913,1.58755,0.50777,0.4616,0.4717,0.28979,1.78625,2.81748,2.23446,0.00120265,0.00120265,0.00120265
18,3236.65,1.37659,1.9541,1.55975,0.64071,0.41155,0.46943,0.28605,1.70144,3.05629,2.16245,0.0011885,0.0011885,0.0011885
19,3421.22,1.34131,1.87065,1.55607,0.61102,0.45739,0.5122,0.30356,1.78389,2.57243,2.24141,0.00117435,0.00117435,0.00117435
20,3601.34,1.29748,1.83357,1.5144,0.63355,0.45575,0.5039,0.29105,1.73631,2.37811,2.17602,0.00116021,0.00116021,0.00116021
21,3780.93,1.28352,1.74483,1.51877,0.63849,0.56246,0.56907,0.32981,1.59203,2.33102,1.92829,0.00114606,0.00114606,0.00114606
22,3961.38,1.21399,1.6353,1.44413,0.61821,0.39002,0.46404,0.26149,1.72,2.80368,2.14108,0.00113191,0.00113191,0.00113191
23,4141.33,1.20585,1.61752,1.44813,0.57729,0.38513,0.4652,0.25725,1.83353,2.59761,2.08592,0.00111776,0.00111776,0.00111776
24,4318.4,1.27691,1.5999,1.51565,0.67524,0.49149,0.53356,0.27795,1.78865,2.26005,2.11267,0.00110362,0.00110362,0.00110362
25,4496.84,1.24994,1.57595,1.50354,0.7124,0.46093,0.50003,0.29919,1.71881,2.4599,2.10297,0.00108947,0.00108947,0.00108947
26,4676.82,1.16018,1.4697,1.42504,0.48225,0.49694,0.48792,0.30016,1.5947,2.18592,1.90163,0.00107532,0.00107532,0.00107532
27,4847.89,1.11896,1.45007,1.3607,0.55069,0.47993,0.56809,0.31723,1.58072,2.00281,1.947,0.00106118,0.00106118,0.00106118
28,5018.94,1.15516,1.42809,1.39529,0.56808,0.53335,0.59443,0.33291,1.61766,1.87589,1.91364,0.00104703,0.00104703,0.00104703
29,5190.6,1.10634,1.3128,1.38432,0.60089,0.41336,0.55941,0.34514,1.50698,1.87723,1.84624,0.00103288,0.00103288,0.00103288
30,5360.33,1.12138,1.32836,1.36544,0.67061,0.47224,0.5598,0.3516,1.55259,1.82758,1.84395,0.00101873,0.00101873,0.00101873
31,5530.28,1.09783,1.2932,1.35065,0.78651,0.48567,0.56038,0.33788,1.61395,1.8321,1.95949,0.00100459,0.00100459,0.00100459
32,5701.44,1.06429,1.2644,1.30979,0.68205,0.54698,0.58261,0.36206,1.59775,1.76226,1.85902,0.00099044,0.00099044,0.00099044
33,5874.7,1.05925,1.17196,1.32083,0.68819,0.52076,0.57625,0.33803,1.59816,1.88661,1.91306,0.000976293,0.000976293,0.000976293
34,6047.59,1.05493,1.15365,1.3045,0.64607,0.49227,0.57307,0.33968,1.59187,1.82671,1.95003,0.000962146,0.000962146,0.000962146
35,6218.59,0.99148,1.13022,1.25772,0.57554,0.58845,0.5543,0.34231,1.57696,1.89557,1.94991,0.000947999,0.000947999,0.000947999
36,6391.29,0.98368,1.09926,1.2883,0.71151,0.57472,0.60645,0.38115,1.47373,1.69616,1.83207,0.000933851,0.000933851,0.000933851
