epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.046,1.58768,3.57733,1.71225,0.00453,0.62963,0.16901,0.11654,1.42522,4.62554,1.90869,0.000439692,0.000439692,0.000439692
2,321.638,1.46239,3.00927,1.63225,0.00232,0.62488,0.1505,0.04752,1.82155,4.73147,2.57168,0.000906957,0.000906957,0.000906957
3,483.502,1.64749,2.77772,1.7823,0.60271,0.01709,0.11883,0.03578,2.08262,4.88431,2.89962,0.00136479,0.00136479,0.00136479
4,653.05,1.66618,2.78686,1.78084,0.75612,0.06061,0.10615,0.04261,1.91882,5.11087,2.94989,0.00138656,0.00138656,0.00138656
5,816.786,1.66437,2.89258,1.81602,0.10314,0.10628,0.06385,0.02274,2.44967,5.47184,3.17766,0.00137241,0.00137241,0.00137241
6,981.776,1.6198,2.72163,1.74782,0.13351,0.18389,0.04445,0.0184,2.58618,6.84743,3.06974,0.00135826,0.00135826,0.00135826
7,1145.96,1.57453,2.52662,1.72279,0.50018,0.0853,0.048,0.0149,2.75437,5.38349,3.35579,0.00134412,0.00134412,0.00134412
8,1310.64,1.57431,2.46381,1.6896,0.23754,0.26867,0.20495,0.09269,2.42451,4.92935,2.91225,0.00132997,0.00132997,0.00132997
9,1482.04,1.51694,2.42755,1.67338,0.37579,0.25045,0.19863,0.09865,1.98756,6.08788,2.727,0.00131582,0.00131582,0.00131582
10,1647.8,1.52877,2.40211,1.63823,0.32982,0.3045,0.20277,0.09302,2.10622,7.7526,2.63161,0.00130168,0.00130168,0.00130168
11,1813.07,1.58137,2.52838,1.73669,0.25911,0.23024,0.15883,0.06732,2.19143,4.56861,2.6568,0.00128753,0.00128753,0.00128753
12,1978.84,1.48009,2.30367,1.62168,0.44026,0.44398,0.38785,0.20019,1.78088,4.14153,2.26387,0.00127338,0.00127338,0.00127338
13,2144.84,1.51183,2.21429,1.6701,0.38284,0.47052,0.36595,0.19779,1.73297,4.05813,2.20801,0.00125923,0.00125923,0.00125923
14,2310.02,1.44226,2.15898,1.61575,0.32994,0.42485,0.3166,0.1717,1.77398,4.99948,2.22827,0.00124509,0.00124509,0.00124509
15,2478.97,1.37302,2.06669,1.56528,0.34275,0.46963,0.37319,0.20442,1.65304,4.37728,2.32228,0.00123094,0.00123094,0.00123094
16,2643.56,1.46932,2.14817,1.61353,0.45673,0.51291,0.45266,0.264,1.48167,3.35173,2.10389,0.00121679,0.00121679,0.00121679
17,2809.77,1.4009,2.04203,1.56076,0.31867,0.44367,0.3738,0.21161,1.63182,2.8864,2.06438,0.00120265,0.00120265,0.00120265
18,2975.13,1.41438,2.02519,1.58888,0.43907,0.52314,0.43032,0.23953,1.54572,3.57063,1.94129,0.0011885,0.0011885,0.0011885
19,3140.75,1.3972,1.99266,1.5501,0.55345,0.5158,0.44006,0.27973,1.51625,2.77734,1.91424,0.00117435,0.00117435,0.00117435
20,3307.22,1.33695,1.92677,1.52397,0.48449,0.42588,0.40766,0.23697,1.53666,3.17427,1.93701,0.00116021,0.00116021,0.00116021
21,3472.27,1.35953,1.93532,1.50435,0.25712,0.50878,0.26297,0.15586,1.7443,4.25212,2.33484,0.00114606,0.00114606,0.00114606
22,3637.11,1.39191,1.97795,1.53625,0.42784,0.45437,0.35863,0.21822,1.71097,3.61115,2.27115,0.00113191,0.00113191,0.00113191
23,3802.82,1.32676,1.89584,1.48588,0.87685,0.43189,0.50227,0.29996,1.59826,2.52187,1.97314,0.00111776,0.00111776,0.00111776
24,3967.66,1.3005,1.79921,1.46218,0.54678,0.51517,0.53588,0.28835,1.571,2.67427,2.02223,0.00110362,0.00110362,0.00110362
25,6146.61,1.29983,1.77293,1.4816,0.65112,0.50367,0.53647,0.28597,1.62444,2.74982,2.12506,0.00108947,0.00108947,0.00108947
26,6233.45,1.28439,1.64825,1.46588,0.58635,0.47195,0.49967,0.26984,1.74527,2.56521,2.14609,0.00107532,0.00107532,0.00107532
27,6365.32,1.23757,1.69411,1.45332,0.56977,0.56522,0.51486,0.32622,1.4689,2.20375,1.88777,0.00106118,0.00106118,0.00106118
28,6532.45,1.24621,1.6674,1.4188,0.53318,0.49227,0.4857,0.23915,1.65462,2.21316,2.07344,0.00104703,0.00104703,0.00104703
29,6697.7,1.20523,1.6437,1.38871,0.53549,0.5668,0.52224,0.27384,1.64926,2.65149,2.1327,0.00103288,0.00103288,0.00103288
30,6860.24,1.26331,1.57765,1.42673,0.65228,0.49535,0.54712,0.31323,1.54446,2.60217,2.03937,0.00101873,0.00101873,0.00101873
31,7024.64,1.19682,1.59197,1.40471,0.56133,0.58146,0.52737,0.3113,1.43002,2.21546,1.77168,0.00100459,0.00100459,0.00100459
32,7186.59,1.18954,1.48131,1.35705,0.48274,0.53026,0.4461,0.26734,1.43311,2.4187,1.76226,0.00099044,0.00099044,0.00099044
33,7349.31,1.19729,1.49637,1.37288,0.55091,0.53492,0.50617,0.286,1.52509,2.05133,1.87799,0.000976293,0.000976293,0.000976293
34,7514.9,1.19146,1.5497,1.37124,0.54024,0.53673,0.50691,0.30298,1.60849,1.99575,1.97231,0.000962146,0.000962146,0.000962146
35,7681.05,1.17264,1.40857,1.38107,0.49987,0.42113,0.46905,0.29937,1.65937,2.15331,1.96613,0.000947999,0.000947999,0.000947999
36,7846.13,1.16309,1.4726,1.39233,0.64237,0.44781,0.50408,0.29029,1.5658,2.16878,1.90501,0.000933851,0.000933851,0.000933851
37,8012.16,1.115,1.3855,1.36202,0.56818,0.47278,0.4931,0.29985,1.5444,2.0882,1.96192,0.000919704,0.000919704,0.000919704
38,8178.35,1.16533,1.41868,1.38348,0.49347,0.52819,0.533,0.33607,1.4485,1.89799,1.79872,0.000905557,0.000905557,0.000905557
39,8342.73,1.12012,1.3638,1.33364,0.76722,0.43427,0.51889,0.29694,1.67454,2.02661,1.95117,0.00089141,0.00089141,0.00089141
40,8506.64,1.11836,1.31129,1.32586,0.53432,0.52213,0.50101,0.31026,1.49078,1.95879,1.77259,0.000877263,0.000877263,0.000877263
41,8668.87,1.04477,1.28019,1.2866,0.65675,0.56474,0.57214,0.37691,1.392,1.89093,1.79087,0.000863116,0.000863116,0.000863116
42,8831.42,1.07068,1.2973,1.34181,0.68669,0.5254,0.58621,0.38208,1.39801,2.10664,1.85784,0.000848969,0.000848969,0.000848969
43,8992.59,1.08842,1.35761,1.3295,0.53989,0.58083,0.5574,0.35407,1.40404,2.04904,1.88775,0.000834822,0.000834822,0.000834822
44,9155.06,1.08987,1.35013,1.30166,0.62659,0.54297,0.5503,0.32902,1.47792,1.85393,1.93885,0.000820675,0.000820675,0.000820675
45,9317.42,1.02538,1.23985,1.30838,0.51816,0.65487,0.59138,0.36242,1.37573,2.0415,1.82783,0.000806528,0.000806528,0.000806528
46,9478.78,1.02654,1.28303,1.27738,0.49674,0.57593,0.52338,0.3547,1.37041,2.30497,1.78243,0.00079238,0.00079238,0.00079238
47,9642.18,1.0293,1.19654,1.26235,0.61431,0.54433,0.5429,0.347,1.36534,1.85188,1.75987,0.000778233,0.000778233,0.000778233
48,9809.15,1.00584,1.19188,1.25216,0.52732,0.59846,0.53794,0.33991,1.31926,1.90499,1.70283,0.000764086,0.000764086,0.000764086
49,9972.11,1.03637,1.20641,1.26772,0.54072,0.62022,0.54915,0.33075,1.4807,1.95172,1.82755,0.000749939,0.000749939,0.000749939
50,11194.8,0.99092,1.15855,1.25291,0.55276,0.58232,0.52093,0.33744,1.41516,1.86751,1.78238,0.000735792,0.000735792,0.000735792
51,11281.2,1.03796,1.16843,1.27035,0.77888,0.51964,0.5902,0.3883,1.3952,1.72391,1.79653,0.000721645,0.000721645,0.000721645
52,11394.5,1.02275,1.14535,1.24076,0.54207,0.63265,0.58145,0.34772,1.43679,1.75865,1.84776,0.000707498,0.000707498,0.000707498
53,11557.5,1.00226,1.16603,1.2279,0.59927,0.61378,0.60218,0.34058,1.47026,1.80061,1.85743,0.000693351,0.000693351,0.000693351
54,11722.1,0.95691,1.08591,1.22245,0.58374,0.59553,0.61324,0.3528,1.39198,1.8264,1.82793,0.000679204,0.000679204,0.000679204
55,11886.9,0.9701,1.11518,1.23954,0.59722,0.61972,0.58639,0.34499,1.40412,1.87164,1.8778,0.000665057,0.000665057,0.000665057
56,12051.9,0.94609,1.08252,1.21622,0.69548,0.54907,0.57868,0.37334,1.33378,1.76979,1.7804,0.000650909,0.000650909,0.000650909
57,12213.7,0.95611,1.06393,1.21233,0.57342,0.5926,0.54787,0.35653,1.40815,1.78792,1.84121,0.000636762,0.000636762,0.000636762
58,12375.7,0.98169,1.08345,1.22642,0.65977,0.58137,0.54104,0.36368,1.45833,1.70199,1.86427,0.000622615,0.000622615,0.000622615
59,12537.4,0.91144,0.99723,1.19281,0.75735,0.56108,0.60775,0.38163,1.39169,1.5632,1.78691,0.000608468,0.000608468,0.000608468
60,12698.6,0.94662,1.07062,1.21589,0.73419,0.58905,0.65909,0.40881,1.33154,1.41173,1.77026,0.000594321,0.000594321,0.000594321
61,12862.9,1.02774,1.04546,1.27445,0.72529,0.5903,0.64316,0.4174,1.3166,1.45461,1.72635,0.000580174,0.000580174,0.000580174
62,13027.8,0.93985,0.98832,1.21459,0.64817,0.54366,0.55715,0.34428,1.28004,1.77593,1.67522,0.000566027,0.000566027,0.000566027
63,13184.8,0.90435,0.97332,1.15312,0.59654,0.60317,0.57915,0.33627,1.3802,1.73632,1.80429,0.00055188,0.00055188,0.00055188
64,13338.7,0.88373,0.94231,1.17011,0.68237,0.57823,0.58982,0.3535,1.39926,1.50664,1.82803,0.000537733,0.000537733,0.000537733
65,13489.8,0.89142,0.90809,1.17919,0.66211,0.63523,0.61096,0.38551,1.29633,1.60318,1.72037,0.000523586,0.000523586,0.000523586
66,13642.1,0.91568,1.01273,1.1721,0.65458,0.63088,0.60443,0.36621,1.34936,1.59779,1.78847,0.000509438,0.000509438,0.000509438
67,13795.2,0.87233,0.90367,1.15707,0.68537,0.60453,0.57597,0.33369,1.50682,1.63067,1.94403,0.000495291,0.000495291,0.000495291
68,13947.1,0.89579,0.88324,1.16643,0.60083,0.57291,0.52588,0.30561,1.60045,1.66846,2.0623,0.000481144,0.000481144,0.000481144
69,14098.4,0.86633,0.91502,1.1509,0.60822,0.5409,0.5459,0.32333,1.55943,1.65242,2.03199,0.000466997,0.000466997,0.000466997
70,14250,0.84292,0.84671,1.13295,0.56883,0.60574,0.58701,0.35663,1.54551,1.58026,1.99012,0.00045285,0.00045285,0.00045285
71,14402.9,0.85388,0.88463,1.14644,0.66569,0.60226,0.63549,0.3633,1.51784,1.47294,1.93618,0.000438703,0.000438703,0.000438703
72,14555.4,0.83929,0.86056,1.14786,0.74354,0.58992,0.64608,0.37305,1.47556,1.44407,1.88165,0.000424556,0.000424556,0.000424556
73,14706.5,0.82228,0.87473,1.1444,0.70185,0.54433,0.58703,0.36457,1.46666,1.4823,1.84218,0.000410409,0.000410409,0.000410409
74,15126.9,0.82053,0.85315,1.14733,0.72645,0.58251,0.58157,0.39353,1.35024,1.54748,1.71207,0.000396262,0.000396262,0.000396262
